instance,task,episode,return,discounted_return
2,13,10,0.32094279217801774,0.9204549386132741
2,13,11,0.32094279217801774,0.9204549386132741
2,13,12,0.32094279217801774,0.9204549386132741
2,13,13,0.32094279217801774,0.9204549386132741
2,13,14,0.32094279217801774,0.9204549386132741
2,13,15,0.32094279217801774,0.9204549386132741
2,13,16,0.32094279217801774,0.9204549386132741
2,13,17,0.32094279217801774,0.9204549386132741
2,13,18,0.32094279217801774,0.9204549386132741
2,13,19,0.32094279217801774,0.9204549386132741
2,13,20,0.32094279217801774,0.9204549386132741
2,14,1,0.32094279217801774,0.9204549386132741
2,14,2,0.32094279217801774,0.9204549386132741
2,14,3,0.0,0.0
2,14,4,0.0,0.0
2,14,5,0.0,0.0
2,14,6,0.32094279217801774,0.9204549386132741
2,14,7,0.32094279217801774,0.9204549386132741
2,14,8,0.32094279217801774,0.9204549386132741
2,14,9,0.32094279217801774,0.9204549386132741
2,14,10,0.32094279217801774,0.9204549386132741
2,14,11,0.32094279217801774,0.9204549386132741
2,14,12,0.32094279217801774,0.9204549386132741
2,14,13,0.32094279217801774,0.9204549386132741
2,14,14,0.32094279217801774,0.9204549386132741
2,14,15,0.32094279217801774,0.9204549386132741
2,14,16,0.32094279217801774,0.9204549386132741
2,14,17,0.32094279217801774,0.9204549386132741
2,14,18,0.32094279217801774,0.9204549386132741
2,14,19,0.32094279217801774,0.9204549386132741
2,14,20,0.32094279217801774,0.9204549386132741
2,15,1,0.32094279217801774,0.9204549386132741
2,15,2,0.32094279217801774,0.9204549386132741
2,15,3,0.0,0.0
2,15,4,0.0,0.0
2,15,5,0.0,0.0
2,15,6,0.32094279217801774,0.9204549386132741
2,15,7,0.32094279217801774,0.9204549386132741
2,15,8,0.32094279217801774,0.9204549386132741
2,15,9,0.32094279217801774,0.9204549386132741
2,15,10,0.32094279217801774,0.9204549386132741
2,15,11,0.32094279217801774,0.9204549386132741
2,15,12,0.32094279217801774,0.9204549386132741
2,15,13,0.32094279217801774,0.9204549386132741
2,15,14,0.32094279217801774,0.9204549386132741
2,15,15,0.32094279217801774,0.9204549386132741
2,15,16,0.32094279217801774,0.9204549386132741
2,15,17,0.32094279217801774,0.9204549386132741
2,15,18,0.32094279217801774,0.9204549386132741
2,15,19,0.32094279217801774,0.9204549386132741
2,15,20,0.32094279217801774,0.9204549386132741
2,16,1,0.31731210318944403,0.9100422242867662
2,16,2,0.31731210318944403,0.9100422242867662
2,16,3,0.0,0.0
2,16,4,0.0,0.0
2,16,5,0.0,0.0
2,16,6,0.31731210318944403,0.9100422242867662
2,16,7,0.31731210318944403,0.9100422242867662
2,16,8,0.31731210318944403,0.9100422242867662
2,16,9,0.31731210318944403,0.9100422242867662
2,16,10,0.31731210318944403,0.9100422242867662
2,16,11,0.31731210318944403,0.9100422242867662
2,16,12,0.31731210318944403,0.9100422242867662
2,16,13,0.31731210318944403,0.9100422242867662
2,16,14,0.31731210318944403,0.9100422242867662
2,16,15,0.31731210318944403,0.9100422242867662
2,16,16,0.31731210318944403,0.9100422242867662
2,16,17,0.31731210318944403,0.9100422242867662
2,16,18,0.31731210318944403,0.9100422242867662
2,16,19,0.31731210318944403,0.9100422242867662
2,16,20,0.31731210318944403,0.9100422242867662
2,17,1,0.32094279217801774,0.9204549386132741
2,17,2,0.32094279217801774,0.9204549386132741
2,17,3,0.0,0.0
2,17,4,0.0,0.0
2,17,5,0.0,0.0
2,17,6,0.32094279217801774,0.9204549386132741
2,17,7,0.32094279217801774,0.9204549386132741
2,17,8,0.32094279217801774,0.9204549386132741
2,17,9,0.32094279217801774,0.9204549386132741
2,17,10,0.32094279217801774,0.9204549386132741
2,17,11,0.32094279217801774,0.9204549386132741
2,17,12,0.32094279217801774,0.9204549386132741
2,17,13,0.32094279217801774,0.9204549386132741
2,17,14,0.32094279217801774,0.9204549386132741
2,17,15,0.32094279217801774,0.9204549386132741
2,17,16,0.32094279217801774,0.9204549386132741
2,17,17,0.32094279217801774,0.9204549386132741
2,17,18,0.32094279217801774,0.9204549386132741
2,17,19,0.32094279217801774,0.9204549386132741
2,17,20,0.32094279217801774,0.9204549386132741
2,18,1,0.32536438323940653,0.9331359379320754
2,18,2,0.32536438323940653,0.9331359379320754
2,18,3,0.0,0.0
2,18,4,0.0,0.0
2,18,5,0.32536438323940653,0.9331359379320754
2,18,6,0.32536438323940653,0.9331359379320754
2,18,7,0.32536438323940653,0.9331359379320754
2,18,8,0.32536438323940653,0.9331359379320754
2,18,9,0.32536438323940653,0.9331359379320754
2,18,10,0.32536438323940653,0.9331359379320754
2,18,11,0.32536438323940653,0.9331359379320754
2,18,12,0.32536438323940653,0.9331359379320754
2,18,13,0.32536438323940653,0.9331359379320754
2,18,14,0.32536438323940653,0.9331359379320754
2,18,15,0.32536438323940653,0.9331359379320754
2,18,16,0.32536438323940653,0.9331359379320754
2,18,17,0.32536438323940653,0.9331359379320754
2,18,18,0.32536438323940653,0.9331359379320754
2,18,19,0.32536438323940653,0.9331359379320754
2,18,20,0.32536438323940653,0.9331359379320754
2,19,1,0.34627487183674316,0.9931066335430214
2,19,2,0.34627487183674316,0.9931066335430214
2,19,3,0.34627487183674316,0.9931066335430214
2,19,4,0.34627487183674316,0.9931066335430214
2,19,5,0.34627487183674316,0.9931066335430214
2,19,6,0.34627487183674316,0.9931066335430214
2,19,7,0.34627487183674316,0.9931066335430214
2,19,8,0.34627487183674316,0.9931066335430214
2,19,9,0.34627487183674316,0.9931066335430214
2,19,10,0.34627487183674316,0.9931066335430214
2,19,11,0.34627487183674316,0.9931066335430214
2,19,12,0.34627487183674316,0.9931066335430214
2,19,13,0.34627487183674316,0.9931066335430214
2,19,14,0.34627487183674316,0.9931066335430214
2,19,15,0.34627487183674316,0.9931066335430214
2,19,16,0.34627487183674316,0.9931066335430214
2,19,17,0.34627487183674316,0.9931066335430214
2,19,18,0.34627487183674316,0.9931066335430214
2,19,19,0.34627487183674316,0.9931066335430214
2,19,20,0.34627487183674316,0.9931066335430214
2,20,1,0.321460997080003,0.921941135757659
2,20,2,0.321460997080003,0.921941135757659
2,20,3,0.0,0.0
2,20,4,0.0,0.0
2,20,5,0.0,0.0
2,20,6,0.321460997080003,0.921941135757659
2,20,7,0.321460997080003,0.921941135757659
2,20,8,0.321460997080003,0.921941135757659
2,20,9,0.321460997080003,0.921941135757659
2,20,10,0.321460997080003,0.921941135757659
2,20,11,0.321460997080003,0.921941135757659
2,20,12,0.321460997080003,0.921941135757659
2,20,13,0.321460997080003,0.921941135757659
2,20,14,0.321460997080003,0.921941135757659
2,20,15,0.321460997080003,0.921941135757659
2,20,16,0.321460997080003,0.921941135757659
2,20,17,0.321460997080003,0.921941135757659
2,20,18,0.321460997080003,0.921941135757659
2,20,19,0.321460997080003,0.921941135757659
2,20,20,0.321460997080003,0.921941135757659
3,1,1,0.0,0.0
3,1,2,0.0,0.0
3,1,3,0.0,0.0
3,1,4,0.0,0.0
3,1,5,0.0,0.0
3,1,6,0.0,0.0
3,1,7,0.0,0.0
3,1,8,0.0,0.0
3,1,9,0.0,0.0
3,1,10,0.0,0.0
3,1,11,0.0,0.0
3,1,12,0.34627487183674316,0.9931066335430214
3,1,13,0.34627487183674316,0.9931066335430214
3,1,14,0.34627487183674316,0.9931066335430214
3,1,15,0.34627487183674316,0.9931066335430214
3,1,16,0.34627487183674316,0.9931066335430214
3,1,17,0.34627487183674316,0.9931066335430214
3,1,18,0.34627487183674316,0.9931066335430214
3,1,19,0.34627487183674316,0.9931066335430214
3,1,20,0.34627487183674316,0.9931066335430214
3,2,1,0.0,0.0
3,2,2,0.0,0.0
3,2,3,0.0,0.0
3,2,4,0.0,0.0
3,2,5,0.34627487183674316,0.9931066335430214
3,2,6,0.34627487183674316,0.9931066335430214
3,2,7,0.34627487183674316,0.9931066335430214
3,2,8,0.34627487183674316,0.9931066335430214
3,2,9,0.34627487183674316,0.9931066335430214
3,2,10,0.34627487183674316,0.9931066335430214
3,2,11,0.34627487183674316,0.9931066335430214
3,2,12,0.34627487183674316,0.9931066335430214
3,2,13,0.34627487183674316,0.9931066335430214
3,2,14,0.34627487183674316,0.9931066335430214
3,2,15,0.34627487183674316,0.9931066335430214
3,2,16,0.34627487183674316,0.9931066335430214
3,2,17,0.34627487183674316,0.9931066335430214
3,2,18,0.34627487183674316,0.9931066335430214
3,2,19,0.34627487183674316,0.9931066335430214
3,2,20,0.34627487183674316,0.9931066335430214
3,3,1,0.0,0.0
3,3,2,0.0,0.0
3,3,3,0.0,0.0
3,3,4,0.0,0.0
3,3,5,0.321460997080003,0.921941135757659
3,3,6,0.321460997080003,0.921941135757659
3,3,7,0.0,0.0
3,3,8,0.0,0.0
3,3,9,0.321460997080003,0.921941135757659
3,3,10,0.321460997080003,0.921941135757659
3,3,11,0.321460997080003,0.921941135757659
3,3,12,0.321460997080003,0.921941135757659
3,3,13,0.321460997080003,0.921941135757659
3,3,14,0.321460997080003,0.921941135757659
3,3,15,0.321460997080003,0.921941135757659
3,3,16,0.321460997080003,0.921941135757659
3,3,17,0.321460997080003,0.921941135757659
3,3,18,0.321460997080003,0.921941135757659
3,3,19,0.321460997080003,0.921941135757659
3,3,20,0.321460997080003,0.921941135757659
3,4,1,0.32094279217801774,0.9204549386132741
3,4,2,0.0,0.0
3,4,3,0.0,0.0
3,4,4,0.32094279217801774,0.9204549386132741
3,4,5,0.0,0.0
3,4,6,0.0,0.0
3,4,7,0.32094279217801774,0.9204549386132741
3,4,8,0.32094279217801774,0.9204549386132741
3,4,9,0.32094279217801774,0.9204549386132741
3,4,10,0.32094279217801774,0.9204549386132741
3,4,11,0.32094279217801774,0.9204549386132741
3,4,12,0.32094279217801774,0.9204549386132741
3,4,13,0.32094279217801774,0.9204549386132741
3,4,14,0.32094279217801774,0.9204549386132741
3,4,15,0.32094279217801774,0.9204549386132741
3,4,16,0.32094279217801774,0.9204549386132741
3,4,17,0.32094279217801774,0.9204549386132741
3,4,18,0.32094279217801774,0.9204549386132741
3,4,19,0.32094279217801774,0.9204549386132741
3,4,20,0.32094279217801774,0.9204549386132741
3,5,1,0.0,0.0
3,5,2,0.0,0.0
3,5,3,0.0,0.0
3,5,4,0.0,0.0
3,5,5,0.34627487183674316,0.9931066335430214
3,5,6,0.34627487183674316,0.9931066335430214
3,5,7,0.34627487183674316,0.9931066335430214
3,5,8,0.34627487183674316,0.9931066335430214
3,5,9,0.34627487183674316,0.9931066335430214
3,5,10,0.34627487183674316,0.9931066335430214
3,5,11,0.34627487183674316,0.9931066335430214
3,5,12,0.34627487183674316,0.9931066335430214
3,5,13,0.34627487183674316,0.9931066335430214
3,5,14,0.34627487183674316,0.9931066335430214
3,5,15,0.34627487183674316,0.9931066335430214
3,5,16,0.34627487183674316,0.9931066335430214
3,5,17,0.34627487183674316,0.9931066335430214
3,5,18,0.34627487183674316,0.9931066335430214
3,5,19,0.34627487183674316,0.9931066335430214
3,5,20,0.34627487183674316,0.9931066335430214
3,6,1,0.32536438323940653,0.9331359379320754
3,6,2,0.0,0.0
3,6,3,0.0,0.0
3,6,4,0.32536438323940653,0.9331359379320754
3,6,5,0.0,0.0
3,6,6,0.0,0.0
3,6,7,0.32536438323940653,0.9331359379320754
3,6,8,0.32536438323940653,0.9331359379320754
3,6,9,0.32536438323940653,0.9331359379320754
3,6,10,0.32536438323940653,0.9331359379320754
3,6,11,0.32536438323940653,0.9331359379320754
3,6,12,0.32536438323940653,0.9331359379320754
3,6,13,0.32536438323940653,0.9331359379320754
3,6,14,0.32536438323940653,0.9331359379320754
3,6,15,0.32536438323940653,0.9331359379320754
3,6,16,0.32536438323940653,0.9331359379320754
3,6,17,0.32536438323940653,0.9331359379320754
3,6,18,0.32536438323940653,0.9331359379320754
3,6,19,0.32536438323940653,0.9331359379320754
3,6,20,0.32536438323940653,0.9331359379320754
3,7,1,0.0,0.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,4,0.0,0.0
3,7,5,0.31731210318944403,0.9100422242867662
3,7,6,0.31731210318944403,0.9100422242867662
3,7,7,0.0,0.0
3,7,8,0.0,0.0
3,7,9,0.31731210318944403,0.9100422242867662
3,7,10,0.31731210318944403,0.9100422242867662
3,7,11,0.31731210318944403,0.9100422242867662
3,7,12,0.31731210318944403,0.9100422242867662
3,7,13,0.31731210318944403,0.9100422242867662
3,7,14,0.31731210318944403,0.9100422242867662
3,7,15,0.31731210318944403,0.9100422242867662
3,7,16,0.31731210318944403,0.9100422242867662
3,7,17,0.31731210318944403,0.9100422242867662
3,7,18,0.31731210318944403,0.9100422242867662
3,7,19,0.31731210318944403,0.9100422242867662
3,7,20,0.31731210318944403,0.9100422242867662
3,8,1,0.0,0.0
3,8,2,0.0,0.0
3,8,3,0.0,0.0
3,8,4,0.0,0.0
3,8,5,0.32536438323940653,0.9331359379320754
3,8,6,0.32536438323940653,0.9331359379320754
3,8,7,0.0,0.0
3,8,8,0.0,0.0
3,8,9,0.32536438323940653,0.9331359379320754
3,8,10,0.32536438323940653,0.9331359379320754
3,8,11,0.32536438323940653,0.9331359379320754
3,8,12,0.32536438323940653,0.9331359379320754
3,8,13,0.32536438323940653,0.9331359379320754
3,8,14,0.32536438323940653,0.9331359379320754
3,8,15,0.32536438323940653,0.9331359379320754
3,8,16,0.32536438323940653,0.9331359379320754
3,8,17,0.32536438323940653,0.9331359379320754
3,8,18,0.32536438323940653,0.9331359379320754
3,8,19,0.32536438323940653,0.9331359379320754
3,8,20,0.32536438323940653,0.9331359379320754
3,9,1,0.0,0.0
3,9,2,0.0,0.0
3,9,3,0.0,0.0
3,9,4,0.0,0.0
3,9,5,0.321460997080003,0.921941135757659
3,9,6,0.321460997080003,0.921941135757659
3,9,7,0.0,0.0
3,9,8,0.0,0.0
3,9,9,0.321460997080003,0.921941135757659
3,9,10,0.321460997080003,0.921941135757659
3,9,11,0.321460997080003,0.921941135757659
3,9,12,0.321460997080003,0.921941135757659
3,9,13,0.321460997080003,0.921941135757659
3,9,14,0.321460997080003,0.921941135757659
3,9,15,0.321460997080003,0.921941135757659
3,9,16,0.321460997080003,0.921941135757659
3,9,17,0.321460997080003,0.921941135757659
3,9,18,0.321460997080003,0.921941135757659
3,9,19,0.321460997080003,0.921941135757659
3,9,20,0.321460997080003,0.921941135757659
3,10,1,0.0,0.0
3,10,2,0.0,0.0
3,10,3,0.0,0.0
3,10,4,0.0,0.0
3,10,5,0.321460997080003,0.921941135757659
3,10,6,0.321460997080003,0.921941135757659
3,10,7,0.0,0.0
3,10,8,0.0,0.0
3,10,9,0.321460997080003,0.921941135757659
3,10,10,0.321460997080003,0.921941135757659
3,10,11,0.321460997080003,0.921941135757659
3,10,12,0.321460997080003,0.921941135757659
3,10,13,0.321460997080003,0.921941135757659
3,10,14,0.321460997080003,0.921941135757659
3,10,15,0.321460997080003,0.921941135757659
3,10,16,0.321460997080003,0.921941135757659
3,10,17,0.321460997080003,0.921941135757659
3,10,18,0.321460997080003,0.921941135757659
3,10,19,0.321460997080003,0.921941135757659
3,10,20,0.321460997080003,0.921941135757659
3,11,1,0.0,0.0
3,11,2,0.0,0.0
3,11,3,0.0,0.0
3,11,4,0.0,0.0
3,11,5,0.321460997080003,0.921941135757659
3,11,6,0.321460997080003,0.921941135757659
3,11,7,0.0,0.0
3,11,8,0.0,0.0
3,11,9,0.321460997080003,0.921941135757659
3,11,10,0.321460997080003,0.921941135757659
3,11,11,0.321460997080003,0.921941135757659
3,11,12,0.321460997080003,0.921941135757659
3,11,13,0.321460997080003,0.921941135757659
3,11,14,0.321460997080003,0.921941135757659
3,11,15,0.321460997080003,0.921941135757659
3,11,16,0.321460997080003,0.921941135757659
3,11,17,0.321460997080003,0.921941135757659
3,11,18,0.321460997080003,0.921941135757659
3,11,19,0.321460997080003,0.921941135757659
3,11,20,0.321460997080003,0.921941135757659
3,12,1,0.31731210318944403,0.9100422242867662
3,12,2,0.31731210318944403,0.9100422242867662
3,12,3,0.0,0.0
3,12,4,0.0,0.0
3,12,5,0.0,0.0
3,12,6,0.31731210318944403,0.9100422242867662
3,12,7,0.31731210318944403,0.9100422242867662
3,12,8,0.31731210318944403,0.9100422242867662
3,12,9,0.31731210318944403,0.9100422242867662
3,12,10,0.31731210318944403,0.9100422242867662
3,12,11,0.31731210318944403,0.9100422242867662
3,12,12,0.31731210318944403,0.9100422242867662
3,12,13,0.31731210318944403,0.9100422242867662
3,12,14,0.31731210318944403,0.9100422242867662
3,12,15,0.31731210318944403,0.9100422242867662
3,12,16,0.31731210318944403,0.9100422242867662
3,12,17,0.31731210318944403,0.9100422242867662
3,12,18,0.31731210318944403,0.9100422242867662
3,12,19,0.31731210318944403,0.9100422242867662
3,12,20,0.31731210318944403,0.9100422242867662
3,13,1,0.32094279217801774,0.9204549386132741
3,13,2,0.32094279217801774,0.9204549386132741
3,13,3,0.0,0.0
3,13,4,0.0,0.0
3,13,5,0.32094279217801774,0.9204549386132741
3,13,6,0.32094279217801774,0.9204549386132741
3,13,7,0.32094279217801774,0.9204549386132741
3,13,8,0.32094279217801774,0.9204549386132741
3,13,9,0.32094279217801774,0.9204549386132741
3,13,10,0.32094279217801774,0.9204549386132741
3,13,11,0.32094279217801774,0.9204549386132741
3,13,12,0.32094279217801774,0.9204549386132741
3,13,13,0.32094279217801774,0.9204549386132741
3,13,14,0.32094279217801774,0.9204549386132741
3,13,15,0.32094279217801774,0.9204549386132741
3,13,16,0.32094279217801774,0.9204549386132741
3,13,17,0.32094279217801774,0.9204549386132741
3,13,18,0.32094279217801774,0.9204549386132741
3,13,19,0.32094279217801774,0.9204549386132741
3,13,20,0.32094279217801774,0.9204549386132741
3,14,1,0.32094279217801774,0.9204549386132741
3,14,2,0.32094279217801774,0.9204549386132741
3,14,3,0.0,0.0
3,14,4,0.0,0.0
3,14,5,0.32094279217801774,0.9204549386132741
3,14,6,0.32094279217801774,0.9204549386132741
3,14,7,0.32094279217801774,0.9204549386132741
3,14,8,0.32094279217801774,0.9204549386132741
3,14,9,0.32094279217801774,0.9204549386132741
3,14,10,0.32094279217801774,0.9204549386132741
3,14,11,0.32094279217801774,0.9204549386132741
3,14,12,0.32094279217801774,0.9204549386132741
3,14,13,0.32094279217801774,0.9204549386132741
3,14,14,0.32094279217801774,0.9204549386132741
3,14,15,0.32094279217801774,0.9204549386132741
3,14,16,0.32094279217801774,0.9204549386132741
3,14,17,0.32094279217801774,0.9204549386132741
3,14,18,0.32094279217801774,0.9204549386132741
3,14,19,0.32094279217801774,0.9204549386132741
3,14,20,0.32094279217801774,0.9204549386132741
3,15,1,0.32094279217801774,0.9204549386132741
3,15,2,0.32094279217801774,0.9204549386132741
3,15,3,0.0,0.0
3,15,4,0.0,0.0
3,15,5,0.32094279217801774,0.9204549386132741
3,15,6,0.32094279217801774,0.9204549386132741
3,15,7,0.32094279217801774,0.9204549386132741
3,15,8,0.32094279217801774,0.9204549386132741
3,15,9,0.32094279217801774,0.9204549386132741
3,15,10,0.32094279217801774,0.9204549386132741
3,15,11,0.32094279217801774,0.9204549386132741
3,15,12,0.32094279217801774,0.9204549386132741
3,15,13,0.32094279217801774,0.9204549386132741
3,15,14,0.32094279217801774,0.9204549386132741
3,15,15,0.32094279217801774,0.9204549386132741
3,15,16,0.32094279217801774,0.9204549386132741
3,15,17,0.32094279217801774,0.9204549386132741
3,15,18,0.32094279217801774,0.9204549386132741
3,15,19,0.32094279217801774,0.9204549386132741
3,15,20,0.32094279217801774,0.9204549386132741
3,16,1,0.31731210318944403,0.9100422242867662
3,16,2,0.31731210318944403,0.9100422242867662
3,16,3,0.0,0.0
3,16,4,0.0,0.0
3,16,5,0.0,0.0
3,16,6,0.31731210318944403,0.9100422242867662
3,16,7,0.31731210318944403,0.9100422242867662
3,16,8,0.31731210318944403,0.9100422242867662
3,16,9,0.31731210318944403,0.9100422242867662
3,16,10,0.31731210318944403,0.9100422242867662
3,16,11,0.31731210318944403,0.9100422242867662
3,16,12,0.31731210318944403,0.9100422242867662
3,16,13,0.31731210318944403,0.9100422242867662
3,16,14,0.31731210318944403,0.9100422242867662
3,16,15,0.31731210318944403,0.9100422242867662
3,16,16,0.31731210318944403,0.9100422242867662
3,16,17,0.31731210318944403,0.9100422242867662
3,16,18,0.31731210318944403,0.9100422242867662
3,16,19,0.31731210318944403,0.9100422242867662
3,16,20,0.31731210318944403,0.9100422242867662
3,17,1,0.32094279217801774,0.9204549386132741
3,17,2,0.32094279217801774,0.9204549386132741
3,17,3,0.0,0.0
3,17,4,0.0,0.0
3,17,5,0.32094279217801774,0.9204549386132741
3,17,6,0.32094279217801774,0.9204549386132741
3,17,7,0.32094279217801774,0.9204549386132741
3,17,8,0.32094279217801774,0.9204549386132741
3,17,9,0.32094279217801774,0.9204549386132741
3,17,10,0.32094279217801774,0.9204549386132741
3,17,11,0.32094279217801774,0.9204549386132741
3,17,12,0.32094279217801774,0.9204549386132741
3,17,13,0.32094279217801774,0.9204549386132741
3,17,14,0.32094279217801774,0.9204549386132741
3,17,15,0.32094279217801774,0.9204549386132741
3,17,16,0.32094279217801774,0.9204549386132741
3,17,17,0.32094279217801774,0.9204549386132741
3,17,18,0.32094279217801774,0.9204549386132741
3,17,19,0.32094279217801774,0.9204549386132741
3,17,20,0.32094279217801774,0.9204549386132741
3,18,1,0.32536438323940653,0.9331359379320754
3,18,2,0.32536438323940653,0.9331359379320754
3,18,3,0.0,0.0
3,18,4,0.0,0.0
3,18,5,0.32536438323940653,0.9331359379320754
3,18,6,0.32536438323940653,0.9331359379320754
3,18,7,0.32536438323940653,0.9331359379320754
3,18,8,0.32536438323940653,0.9331359379320754
3,18,9,0.32536438323940653,0.9331359379320754
3,18,10,0.32536438323940653,0.9331359379320754
3,18,11,0.32536438323940653,0.9331359379320754
3,18,12,0.32536438323940653,0.9331359379320754
3,18,13,0.32536438323940653,0.9331359379320754
3,18,14,0.32536438323940653,0.9331359379320754
3,18,15,0.32536438323940653,0.9331359379320754
3,18,16,0.32536438323940653,0.9331359379320754
3,18,17,0.32536438323940653,0.9331359379320754
3,18,18,0.32536438323940653,0.9331359379320754
3,18,19,0.32536438323940653,0.9331359379320754
3,18,20,0.32536438323940653,0.9331359379320754
3,19,1,0.34627487183674316,0.9931066335430214
3,19,2,0.34627487183674316,0.9931066335430214
3,19,3,0.34627487183674316,0.9931066335430214
3,19,4,0.34627487183674316,0.9931066335430214
3,19,5,0.34627487183674316,0.9931066335430214
3,19,6,0.34627487183674316,0.9931066335430214
3,19,7,0.34627487183674316,0.9931066335430214
3,19,8,0.34627487183674316,0.9931066335430214
3,19,9,0.34627487183674316,0.9931066335430214
3,19,10,0.34627487183674316,0.9931066335430214
3,19,11,0.34627487183674316,0.9931066335430214
3,19,12,0.34627487183674316,0.9931066335430214
3,19,13,0.34627487183674316,0.9931066335430214
3,19,14,0.34627487183674316,0.9931066335430214
3,19,15,0.34627487183674316,0.9931066335430214
3,19,16,0.34627487183674316,0.9931066335430214
3,19,17,0.34627487183674316,0.9931066335430214
3,19,18,0.34627487183674316,0.9931066335430214
3,19,19,0.34627487183674316,0.9931066335430214
3,19,20,0.34627487183674316,0.9931066335430214
3,20,1,0.321460997080003,0.921941135757659
3,20,2,0.321460997080003,0.921941135757659
3,20,3,0.0,0.0
3,20,4,0.0,0.0
3,20,5,0.321460997080003,0.921941135757659
3,20,6,0.321460997080003,0.921941135757659
3,20,7,0.321460997080003,0.921941135757659
3,20,8,0.321460997080003,0.921941135757659
3,20,9,0.321460997080003,0.921941135757659
3,20,10,0.321460997080003,0.921941135757659
3,20,11,0.321460997080003,0.921941135757659
3,20,12,0.321460997080003,0.921941135757659
3,20,13,0.321460997080003,0.921941135757659
3,20,14,0.321460997080003,0.921941135757659
3,20,15,0.321460997080003,0.921941135757659
3,20,16,0.321460997080003,0.921941135757659
3,20,17,0.321460997080003,0.921941135757659
3,20,18,0.321460997080003,0.921941135757659
3,20,19,0.321460997080003,0.921941135757659
3,20,20,0.321460997080003,0.921941135757659
4,1,1,0.0,0.0
4,1,2,0.0,0.0
4,1,3,0.0,0.0
4,1,4,0.0,0.0
4,1,5,0.0,0.0
4,1,6,0.0,0.0
4,1,7,0.0,0.0
4,1,8,0.0,0.0
4,1,9,0.0,0.0
4,1,10,0.34627487183674316,0.9931066335430214
4,1,11,0.34627487183674316,0.9931066335430214
4,1,12,0.34627487183674316,0.9931066335430214
4,1,13,0.34627487183674316,0.9931066335430214
4,1,14,0.34627487183674316,0.9931066335430214
4,1,15,0.34627487183674316,0.9931066335430214
4,1,16,0.34627487183674316,0.9931066335430214
4,1,17,0.34627487183674316,0.9931066335430214
4,1,18,0.34627487183674316,0.9931066335430214
4,1,19,0.34627487183674316,0.9931066335430214
4,1,20,0.34627487183674316,0.9931066335430214
4,2,1,0.0,0.0
4,2,2,0.0,0.0
4,2,3,0.0,0.0
4,2,4,0.0,0.0
4,2,5,0.34627487183674316,0.9931066335430214
4,2,6,0.34627487183674316,0.9931066335430214
4,2,7,0.34627487183674316,0.9931066335430214
4,2,8,0.34627487183674316,0.9931066335430214
4,2,9,0.34627487183674316,0.9931066335430214
4,2,10,0.34627487183674316,0.9931066335430214
4,2,11,0.34627487183674316,0.9931066335430214
4,2,12,0.34627487183674316,0.9931066335430214
4,2,13,0.34627487183674316,0.9931066335430214
4,2,14,0.34627487183674316,0.9931066335430214
4,2,15,0.34627487183674316,0.9931066335430214
4,2,16,0.34627487183674316,0.9931066335430214
4,2,17,0.34627487183674316,0.9931066335430214
4,2,18,0.34627487183674316,0.9931066335430214
4,2,19,0.34627487183674316,0.9931066335430214
4,2,20,0.34627487183674316,0.9931066335430214
4,3,1,0.321460997080003,0.921941135757659
4,3,2,0.0,0.0
4,3,3,0.0,0.0
4,3,4,0.321460997080003,0.921941135757659
4,3,5,0.0,0.0
4,3,6,0.0,0.0
4,3,7,0.321460997080003,0.921941135757659
4,3,8,0.321460997080003,0.921941135757659
4,3,9,0.321460997080003,0.921941135757659
4,3,10,0.321460997080003,0.921941135757659
4,3,11,0.321460997080003,0.921941135757659
4,3,12,0.321460997080003,0.921941135757659
4,3,13,0.321460997080003,0.921941135757659
4,3,14,0.321460997080003,0.921941135757659
4,3,15,0.321460997080003,0.921941135757659
4,3,16,0.321460997080003,0.921941135757659
4,3,17,0.321460997080003,0.921941135757659
4,3,18,0.321460997080003,0.921941135757659
4,3,19,0.321460997080003,0.921941135757659
4,3,20,0.321460997080003,0.921941135757659
4,4,1,0.32094279217801774,0.9204549386132741
4,4,2,0.0,0.0
4,4,3,0.0,0.0
4,4,4,0.32094279217801774,0.9204549386132741
4,4,5,0.0,0.0
4,4,6,0.0,0.0
4,4,7,0.32094279217801774,0.9204549386132741
4,4,8,0.32094279217801774,0.9204549386132741
4,4,9,0.32094279217801774,0.9204549386132741
4,4,10,0.32094279217801774,0.9204549386132741
4,4,11,0.32094279217801774,0.9204549386132741
4,4,12,0.32094279217801774,0.9204549386132741
4,4,13,0.32094279217801774,0.9204549386132741
4,4,14,0.32094279217801774,0.9204549386132741
4,4,15,0.32094279217801774,0.9204549386132741
4,4,16,0.32094279217801774,0.9204549386132741
4,4,17,0.32094279217801774,0.9204549386132741
4,4,18,0.32094279217801774,0.9204549386132741
4,4,19,0.32094279217801774,0.9204549386132741
4,4,20,0.32094279217801774,0.9204549386132741
4,5,1,0.0,0.0
4,5,2,0.0,0.0
4,5,3,0.0,0.0
4,5,4,0.0,0.0
4,5,5,0.34627487183674316,0.9931066335430214
4,5,6,0.34627487183674316,0.9931066335430214
4,5,7,0.34627487183674316,0.9931066335430214
4,5,8,0.34627487183674316,0.9931066335430214
4,5,9,0.34627487183674316,0.9931066335430214
4,5,10,0.34627487183674316,0.9931066335430214
4,5,11,0.34627487183674316,0.9931066335430214
